1,6,0,Margie
181,5,0,moved
1789,4,0.2,into
3036,3,0.25,her
1635,3,0.65,new
81,9,0.75,apartment
5372,2,0,at
69974,3,0.6,the
409,3,0.1,end
36414,2,0.95,of
69974,3,1,the
134,7,0.1,summer.@
69974,3,0,The
92,9,0,principal
52,10,0,introduced
69974,3,0.8,the
1635,3,0.35,new
382,9,0,president
36414,2,0.55,of
69974,3,1,the
75,6,0,junior
207,6,0.7,class.@
108,4,0,None
36414,2,0.9,of
69974,3,0.9,the
213,8,0.15,students
226,6,0.05,wanted
26155,2,0.95,to
3942,4,0.1,have
3727,2,0.45,an
1,4,0.45,exam
1068,5,0,after
126,6,0,Spring
88,6,0.95,Break.@
83,4,0,Mark
413,4,0,told
1,5,0,Janet
10593,4,0.8,that
9547,2,0.6,he
2715,5,0.1,would
149,4,0,meet
3036,3,0.95,her
1068,5,0.2,after
57,8,0,baseball
94,9,0.9,practice.@
143,4,0,Bill
22,10,0,complained
10593,4,0.3,that
69974,3,0.2,the
39,8,0,magazine
97,8,0,included
2214,4,0,more
10,4,0.4,adds
1790,4,0.9,than
31,9,0.75,articles.@
69974,3,0,The
45,5,0,angry
1207,3,0.4,man
401,6,0,called
69974,3,0.5,the
40,7,0,senator
26155,2,0.15,to
11,8,0.35,complain
1814,5,0.95,about
69974,3,0.45,the
1635,3,0.05,new
201,3,0.35,tax
299,4,0.5,law.@
69974,3,0,The
19,9,0,policeman
102,8,0,demanded
26155,2,0.2,to
772,3,0.7,see
4,5,0,Jim's
36,7,0.65,license
28850,3,0.65,and
23,13,1,registration.@
23127,1,0,A
11,6,0,strict
1,11,0,"vegetarian,"
1,8,0,Jennifer
485,4,0.1,does
4868,3,0.95,not
61,3,0.95,eat
37,7,0,chicken
4204,2,0.95,or
31,5,0.25,beef.@
1,7,0,Nancy's
90,7,0,kitchen
9816,3,0.4,was
1,8,0,infested
7289,4,1,with
6,9,0,carpenter
1,4,0.9,ants
28850,3,0.8,and
1,8,0.25,roaches.@
69974,3,0,The
8,9,0,hurricane
39,9,0.15,destroyed
83,6,0,houses
21335,2,0.05,in
69974,3,0.6,the
72,7,0,village
28850,3,0.6,and
141,4,0.05,left
1029,4,0.15,many
1,9,0.25,homeless.@
15,3,0,Amy
413,4,0,told
69974,3,0.1,the
80,7,0.15,teacher
10593,4,0.9,that
3036,3,0.1,her
76,3,0.1,dog
16,3,0.75,ate
3036,3,0.9,her
1,8,0.95,homework
62,11,0.1,assignment.@
13,2,0,Ed
9816,3,0.1,was
15,9,0,forbidden
26155,2,0.9,to
54,6,0,attend
267,7,0,college
59,7,0.05,parties
680,5,0,while
9547,2,0.8,he
9816,3,0.85,was
21335,2,0.2,in
498,4,0.2,high
493,7,0.95,school.@
1,5,0,Sheri
28850,3,0,and
3036,3,0.25,her
161,7,0.35,friends
508,4,0.45,went
26155,2,0.95,to
16,6,0,Hawaii
9489,3,0.6,for
2670,5,0,their
134,6,0,summer
47,9,1,vacation.@
83,4,0,Mark
438,3,0,put
834,3,0,too
937,4,0.68,much
22,4,0,soap
21335,2,0.42,in
69974,3,0.79,the
44,7,0.26,washing
103,8,0.89,"machine,"
69974,3,0.68,and
8761,2,0.58,it
2,11,0.69,overflowed.@
69974,3,0,The
7,6,0,circus
10,5,0,tents
3286,4,0.7,were
32,7,0,crowded
7289,4,0.85,with
58,8,0.1,"animals,"
2,7,0.35,"clowns,"
28850,3,0.85,and
355,9,0.2,children.@
69974,3,0,The
57,4,0,bear
1,6,0,chased
1068,5,0.05,after
69974,3,0.8,the
66,6,0,forest
2,6,0.7,ranger
2252,3,0.05,who
9816,3,0.2,was
71,8,0,carrying
24,6,0,honey.@
69974,3,0,The
351,4,0,best
570,5,0,place
10593,4,0,that
37,6,0.05,serves
78,6,0.15,coffee
28850,3,0.2,and
1,7,0,muffins
10109,2,0.8,is
1,6,0,Dunkin
1,7,1,Donuts.@
845,3,0,Mr.
72,5,0.3,Jones
398,5,0,asked
6994,3,0.15,his
165,3,0.05,son
26155,2,0.5,to
445,5,0,water
69974,3,0.95,the
59,6,0.3,plants
28850,3,0.5,and
1,3,0.1,mow
69974,3,1,the
15,5,0.95,lawn.@
69974,3,0,The
5,7,0,bride's
216,6,0.1,mother
30,5,0.05,cried
585,6,0.05,during
69974,3,1,the
32,7,0.45,wedding
18,9,0.65,ceremony.@
69974,3,0,The
36,5,0,drunk
49,6,0,driver
173,4,0,lost
223,8,0.4,"control,"
12,7,0.05,crashed
1789,4,0.4,into
23127,1,0.6,a
244,6,0,street
94,4,0.6,sign
28850,3,0.85,and
86,5,0.7,died.@
87,4,0,Mary
9816,3,0.15,was
69974,3,0.05,the
1748,4,0.3,only
4,8,0,teenager
2252,3,0.5,who
36,8,0,attended
69974,3,0.8,the
143,6,0,square
90,5,0.85,dance
21335,2,0,in
212,5,0,town.@
69974,3,0,The
1,7,0,burglar
67,5,0.15,broke
69974,3,0.15,the
119,6,0.45,window
28850,3,0.35,and
49,7,0,quietly
6,7,0.05,sneaked
1789,4,0.8,into
69974,3,0.95,the
591,6,0.85,house.@
11,5,0,Jimmy
9816,3,0,was
145,4,0,sent
26155,2,0.8,to
69974,3,0.45,the
1,11,0.4,principal's
255,6,1,office
883,7,0.3,because
9547,2,0.9,he
1,7,0,punched
14,6,0.05,Sally.@
1159,4,0,Most
239,3,0,job
25,12,0.05,applications
86,7,0.1,require
5372,2,0.05,at
343,5,0.75,least
3297,3,0.3,one
145,6,0.05,letter
36414,2,1,of
24,15,0.55,recommendation.@
69974,3,0,The
1,9,0,daredevil
9816,3,0.1,was
24,8,0,relieved
2333,4,0.4,when
6994,3,0.05,his
1,9,0.15,parachute
191,7,0.05,finally
131,7,1,opened.@
8761,2,0,It
10109,2,0,is
4868,3,0,not
63,7,0,unusual
26155,2,0.25,to
772,3,0.2,see
3727,2,0.65,an
2,9,0,armadillo
55,5,0.05,cross
23127,1,0,a
195,4,0.55,road
21335,2,0.7,in
69,6,0.2,Texas.@
1,4,0,Erik
426,4,0,took
6995,3,0.15,his
51,4,0,sick
1,8,0,parakeet
26155,2,1,to
69974,3,1,the
2,12,0.9,veterinarian
6740,2,0,on
58,8,0.05,Tuesday.@
14,2,0,Al
34,9,0,stretched
1015,6,0,before
123,7,0,running
26155,2,0.2,to
58,5,0,avoid
25,7,0.15,pulling
23127,1,0.6,a
1,8,0,ligament
4204,2,0.6,or
42,7,0.55,muscle.@
69974,3,0,The
1,5,0,boxer
5,6,0,flared
6994,3,0.7,his
3,8,0.85,nostrils
7251,2,0.05,as
9547,2,0.75,he
97,7,0.05,entered
69974,3,1,the
1,6,0,boxing
47,5,0.95,ring.@
87,4,0,Mary
9816,3,0.05,was
3,8,0,thrilled
26155,2,0.35,to
76,7,0,receive
23127,1,0.35,a
1,7,0,trinket
4371,4,0.75,from
3036,3,0.7,her
1,10,0.5,boyfriend.@
104,7,0,Covered
7289,4,0.55,with
2,8,0,"maggots,"
69974,3,0.9,the
10,3,0,rag
9816,3,0.55,was
75,7,0,removed
4371,4,0.9,from
69974,3,1,the
1,6,0,smelly
1,4,0,dorm
384,5,1,room.@
1,9,0,Propelled
4371,4,0,from
23127,1,0.15,a
26,10,0,"submarine,"
69974,3,0.75,the
1,7,0.3,torpedo
59,6,0.05,struck
69974,3,0.8,the
1,11,0,battleship.@
52,6,0,Alfred
119,6,0,served
8,5,0,baked
1,7,0,haddock
28850,3,0.4,and
1,9,0.05,asparagus
26155,2,0.3,to
6994,3,0.5,his
1,11,0.25,girlfriend.@
69974,3,0,The
31,6,0,dancer
8,9,0,resembled
23127,1,0.8,a
1,7,0,gazelle
7251,2,0.15,as
9547,2,0.05,he
20,6,0.25,leaped
282,6,0.25,across
69974,3,1,the
175,6,0.6,stage.@
69974,3,0,The
831,6,0,little
220,4,0.2,girl
5134,3,0,had
1,7,0,dimples
21335,2,0.2,in
3036,3,0.9,her
25,4,0.1,chin
28850,3,0.95,and
23127,1,0.15,a
1,7,0.1,freckle
6740,2,0.95,on
3036,3,1,her
60,5,0.85,nose.@
69974,3,0,The
61,5,0,beach
9816,3,0.6,was
104,7,0.1,covered
7289,4,0.9,with
3,8,0,"pebbles,"
93,3,0,sea
15,7,0.6,"shells,"
28850,3,0.95,and
1,9,0,starfish.@
69974,3,0,The
213,5,0,child
5134,3,0.05,had
23127,1,0.5,a
9,9,0,nightmare
1814,5,0.45,about
681,5,0,being
1,6,0.25,chased
5305,2,0.9,by
1,7,0,hornets
28850,3,0.85,and
1,6,0.15,wasps.@
1,4,0,Biff
4,4,0,dove
1789,4,0.55,into
69974,3,1,the
445,5,0.35,water
28850,3,0.55,and
10,9,0,retrieved
23127,1,0.15,a
1,7,0,scallop
4371,4,0.25,from
69974,3,0.85,the
34,5,0,ocean
158,6,0.85,floor.@
69974,3,0,The
831,6,0,little
220,4,0.2,girl
78,6,0,picked
3001,3,0,all
36414,2,0.25,of
69974,3,0.95,the
1,7,0,cashews
2096,3,0.75,out
36414,2,1,of
69974,3,1,the
31,5,0,trail
13,4,0.85,mix.@
69974,3,0,The
9,7,0,athlete
67,5,0,broke
6994,3,0.7,his
1,6,0,pelvis
28850,3,0.05,and
1601,5,0.1,could
4868,3,0.9,not
22,11,0,participate
21335,2,0.95,in
69974,3,0.85,the
103,5,0.15,race.@
69974,3,0,The
123,4,0,game
288,4,0,show
1,10,0,contestant
68,3,0.4,won
23127,1,0.6,a
1,6,0,quartz
81,5,0.95,watch
28850,3,0.8,and
23127,1,0.75,a
51,10,0.05,television
414,4,1,set.@
69974,3,0,The
8,8,0,careless
1,7,0,mailman
37,9,0,delivered
69974,3,0.95,the
1,6,0,parcel
26155,2,0.9,to
69974,3,1,the
129,5,0.95,wrong
591,6,0.5,house.@
1068,5,0,After
34,9,0,receiving
265,6,0,"money,"
69974,3,0.25,the
2,6,0,beggar
56,6,0.1,bought
12,10,0.05,cigarettes
28850,3,0.8,and
23127,1,0,a
362,4,0,case
36414,2,1,of
35,5,0.95,beer.@
5372,2,0,At
69974,3,0.6,the
131,7,0,science
216,6,0,"party,"
847,6,0,people
3286,4,0.45,were
36,7,0.05,dressed
7251,2,0.2,as
3,6,0.05,robots
28850,3,0.8,and
5,10,0.3,computers.@
69974,3,0,The
6,8,0,stunning
6,7,0.05,actress
65,4,0,wore
23127,1,0.1,a
203,5,0.05,black
1,6,0,sequin
67,5,0.7,dress
26155,2,0.25,to
69974,3,1,the
46,5,0.2,award
18,9,0.6,ceremony.@
2333,4,0,When
69974,3,0.25,the
1207,3,0.05,man
134,3,0,ran
21335,2,0,in
69974,3,0.65,the
7,9,0,"blizzard,"
3727,2,0,an
1,6,0.05,icicle
76,6,0.05,formed
6740,2,0.9,on
6994,3,0.85,his
26,6,0.1,beard.@
69974,3,0,The
6,6,0,clumsy
36,9,0,assistant
101,7,0.45,dropped
23127,1,0.1,a
2,7,0.15,"beaker,"
28850,3,0.5,and
8761,2,0.15,it
13,9,0.05,shattered
6740,2,0.4,on
69974,3,0.95,the
158,6,0.9,floor.@
2333,4,0,When
2,4,0,Al's
1,6,0,retina
246,6,0.05,became
1,8,0.2,inflamed
28850,3,0.1,and
10,5,0.05,"sore,"
9547,2,1,he
41,7,0,visited
69974,3,0.85,the
122,3,0.1,eye
100,7,0.9,doctor.@
